epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,8805.73,1.36404,1.45258,1.24237,0.48819,0.37646,0.35977,0.21236,1.33592,1.43586,1.21454,0.00062875,0.00062875,0.00062875
77,8921.9,1.36533,1.45422,1.24185,0.49259,0.37661,0.36029,0.21244,1.33519,1.43558,1.21507,0.0006238,0.0006238,0.0006238
78,9037.93,1.35818,1.44753,1.24084,0.49291,0.37375,0.36004,0.21267,1.337,1.43525,1.21654,0.00061885,0.00061885,0.00061885
79,9154.07,1.36118,1.44628,1.24174,0.49337,0.37244,0.36069,0.2129,1.3364,1.43478,1.2163,0.0006139,0.0006139,0.0006139
80,9269.85,1.35073,1.43246,1.233,0.49057,0.37373,0.36076,0.21256,1.33559,1.4334,1.21531,0.00060895,0.00060895,0.00060895
81,9385.42,1.35269,1.43261,1.23488,0.48926,0.37464,0.36038,0.21233,1.33375,1.43233,1.21454,0.000604,0.000604,0.000604
82,9501.09,1.35199,1.42931,1.23258,0.4925,0.37504,0.36006,0.21274,1.33367,1.43161,1.21411,0.00059905,0.00059905,0.00059905
83,9617.16,1.36173,1.43824,1.23564,0.49127,0.37655,0.36045,0.2126,1.33337,1.43175,1.21341,0.0005941,0.0005941,0.0005941
84,9732.94,1.35373,1.42606,1.23306,0.49213,0.37724,0.36001,0.21239,1.33431,1.43161,1.21352,0.00058915,0.00058915,0.00058915
85,9848.95,1.34938,1.42327,1.2303,0.48828,0.37827,0.35967,0.21185,1.33483,1.4314,1.21364,0.0005842,0.0005842,0.0005842
86,9964.42,1.34263,1.42287,1.22962,0.48212,0.38091,0.36003,0.21209,1.33293,1.43112,1.21252,0.00057925,0.00057925,0.00057925
87,10080.3,1.34918,1.42508,1.23107,0.48332,0.38002,0.3606,0.21239,1.33291,1.43043,1.21254,0.0005743,0.0005743,0.0005743
88,10195.8,1.34874,1.42427,1.23029,0.48375,0.38127,0.36077,0.21246,1.33242,1.42959,1.21194,0.00056935,0.00056935,0.00056935
89,10311.2,1.34253,1.41508,1.22833,0.48807,0.37779,0.36041,0.21205,1.3332,1.42955,1.21202,0.0005644,0.0005644,0.0005644
90,10427.1,1.33794,1.41436,1.22676,0.49113,0.3769,0.36101,0.21247,1.33427,1.42888,1.21268,0.00055945,0.00055945,0.00055945
91,10542.6,1.34325,1.41868,1.22968,0.48997,0.37771,0.3614,0.21233,1.33448,1.42868,1.21339,0.0005545,0.0005545,0.0005545
92,10657.9,1.3344,1.40729,1.22505,0.48941,0.37822,0.36191,0.21254,1.3344,1.42749,1.21337,0.00054955,0.00054955,0.00054955
93,10773.2,1.33791,1.40526,1.22418,0.48879,0.37828,0.3625,0.2128,1.33443,1.42754,1.21305,0.0005446,0.0005446,0.0005446
94,10888.7,1.33495,1.40161,1.22392,0.48854,0.3785,0.36277,0.2128,1.33486,1.42727,1.21348,0.00053965,0.00053965,0.00053965
95,11004.2,1.33039,1.39932,1.2212,0.49215,0.37803,0.36271,0.21281,1.33574,1.42696,1.21392,0.0005347,0.0005347,0.0005347
96,11120,1.33527,1.40525,1.22305,0.48901,0.37903,0.36249,0.2127,1.33631,1.4258,1.21441,0.00052975,0.00052975,0.00052975
97,11236.2,1.33482,1.39987,1.22095,0.48853,0.37974,0.36253,0.21244,1.33619,1.42583,1.21438,0.0005248,0.0005248,0.0005248
98,11352.4,1.34001,1.40441,1.22665,0.48763,0.38036,0.36242,0.21246,1.3352,1.42486,1.2136,0.00051985,0.00051985,0.00051985
